ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,2017,2018,2019,2020
AFG,GGXWDG_NGDP,Afghanistan,General government gross debt,Percent of GDP,,7.998,7.384,6.13,7.397
AFG,NGDP_FY,Afghanistan,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"1,285.46","1,327.69","1,469.60","1,547.29"
AFG,BCA,Afghanistan,Current account balance,U.S. dollars,Billions,1.431,2.237,2.209,2.247
AFG,BCA_NGDPD,Afghanistan,Current account balance,Percent of GDP,,7.576,12.158,11.705,11.157
ALB,NGDP_R,Albania,"Gross domestic product, constant prices",National currency,Billions,788.943,820.653,837.786,810.121
ALB,NGDP_RPCH,Albania,"Gross domestic product, constant prices",Percent change,,3.802,4.019,2.088,-3.302
ALB,NGDP,Albania,"Gross domestic product, current prices",National currency,Billions,"1,550.65","1,636.73","1,691.90","1,647.43"
ALB,NGDPD,Albania,"Gross domestic product, current prices",U.S. dollars,Billions,13.053,15.157,15.399,15.192
ALB,PPPGDP,Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,37.609,40.061,41.631,40.781
ALB,NGDP_D,Albania,"Gross domestic product, deflator",Index,,196.547,199.442,201.949,203.356
ALB,NGDPRPC,Albania,"Gross domestic product per capita, constant prices",National currency,Units,"273,542.43","284,678.59","290,805.66","281,507.21"
ALB,NGDPRPPPPC,Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"13,039.70","13,570.55","13,862.63","13,419.38"
ALB,NGDPPC,Albania,"Gross domestic product per capita, current prices",National currency,Units,"537,640.30","567,769.71","587,280.30","572,461.97"
ALB,NGDPDPC,Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,525.89","5,257.71","5,345.06","5,278.99"
ALB,PPPPC,Albania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"13,039.70","13,896.82","14,450.53","14,171.03"
ALB,NGAP_NPGDP,Albania,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
ALB,PPPSH,Albania,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.031,0.031,0.031,0.031
ALB,PPPEX,Albania,Implied PPP conversion rate,National currency per current international dollar,,41.231,40.856,40.641,40.397
ALB,NID_NGDP,Albania,Total investment,Percent of GDP,,24.672,24.118,23.032,22.677
ALB,NGSD_NGDP,Albania,Gross national savings,Percent of GDP,,17.085,17.109,14.742,13.991
ALB,PCPI,Albania,"Inflation, average consumer prices",Index,,103.297,105.393,106.88,108.613
ALB,PCPIPCH,Albania,"Inflation, average consumer prices",Percent change,,1.985,2.029,1.411,1.621
ALB,PCPIE,Albania,"Inflation, end of period consumer prices",Index,,104.011,105.882,107.1,108.225
ALB,PCPIEPCH,Albania,"Inflation, end of period consumer prices",Percent change,,1.808,1.799,1.15,1.051
ALB,TM_RPCH,Albania,Volume of imports of goods and services,Percent change,,6.032,5.766,4.719,-19.547
ALB,TMG_RPCH,Albania,Volume of Imports of goods,Percent change,,4.39,4.234,3.459,-5.092
ALB,TX_RPCH,Albania,Volume of exports of goods and services,Percent change,,10.113,3.523,1.651,-27.44
ALB,TXG_RPCH,Albania,Volume of exports of goods,Percent change,,-1.377,14.145,-8.415,-1.946
ALB,LUR,Albania,Unemployment rate,Percent of total labor force,,13.7,12.3,11.47,11.675
ALB,LE,Albania,Employment,Persons,Millions,,n/a,,
ALB,LP,Albania,Population,Persons,Millions,2.884,2.883,2.881,2.878
ALB,GGR,Albania,General government revenue,National currency,Billions,430.397,449.389,460.349,425.906
ALB,GGR_NGDP,Albania,General government revenue,Percent of GDP,,27.756,27.457,27.209,25.853
ALB,GGX,Albania,General government total expenditure,National currency,Billions,452.193,475.91,491.928,536.28
ALB,GGX_NGDP,Albania,General government total expenditure,Percent of GDP,,29.162,29.077,29.075,32.552
ALB,GGXCNL,Albania,General government net lending/borrowing,National currency,Billions,-21.795,-26.521,-31.579,-110.374
ALB,GGXCNL_NGDP,Albania,General government net lending/borrowing,Percent of GDP,,-1.406,-1.62,-1.866,-6.7
ALB,GGSB,Albania,General government structural balance,National currency,Billions,,,,
ALB,GGSB_NPGDP,Albania,General government structural balance,Percent of potential GDP,,,,,
ALB,GGXONLB,Albania,General government primary net lending/borrowing,National currency,Billions,10.109,9.993,3.564,-75.98
ALB,GGXONLB_NGDP,Albania,General government primary net lending/borrowing,Percent of GDP,,0.652,0.611,0.211,-4.612
ALB,GGXWDN,Albania,General government net debt,National currency,Billions,"1,015.75","1,006.27","1,023.53","1,148.99"
ALB,GGXWDN_NGDP,Albania,General government net debt,Percent of GDP,,65.505,61.481,60.496,69.744
ALB,GGXWDG,Albania,General government gross debt,National currency,Billions,"1,114.83","1,137.07","1,139.80","1,248.30"
ALB,GGXWDG_NGDP,Albania,General government gross debt,Percent of GDP,,71.895,69.472,67.368,75.772
ALB,NGDP_FY,Albania,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"1,550.65","1,636.73","1,691.90","1,647.43"
ALB,BCA,Albania,Current account balance,U.S. dollars,Billions,-0.978,-1.024,-1.166,-1.315
ALB,BCA_NGDPD,Albania,Current account balance,Percent of GDP,,-7.492,-6.754,-7.571,-8.659
DZA,NGDP_R,Algeria,"Gross domestic product, constant prices",National currency,Billions,"7,378.28","7,466.82","7,541.49","7,156.87"
DZA,NGDP_RPCH,Algeria,"Gross domestic product, constant prices",Percent change,,1.4,1.2,1,-5.1
DZA,NGDP,Algeria,"Gross domestic product, current prices",National currency,Billions,"18,575.70","20,393.50","20,500.20","18,476.90"
DZA,NGDPD,Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,167.498,174.868,171.673,145.656
DZA,PPPGDP,Algeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,478.068,495.437,509.366,489.697
DZA,NGDP_D,Algeria,"Gross domestic product, deflator",Index,,251.762,273.122,271.832,258.17
DZA,NGDPRPC,Algeria,"Gross domestic product per capita, constant prices",National currency,Units,"176,848.14","175,368.05","173,670.99","163,208.89"
DZA,NGDPRPPPPC,Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"11,458.70","11,362.79","11,252.84","10,574.95"
DZA,NGDPPC,Algeria,"Gross domestic product per capita, current prices",National currency,Units,"445,236.21","478,968.01","472,093.77","421,356.41"
DZA,NGDPDPC,Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,014.71","4,107.00","3,953.40","3,321.60"
DZA,PPPPC,Algeria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"11,458.70","11,635.98","11,730.06","11,167.29"
DZA,NGAP_NPGDP,Algeria,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
DZA,PPPSH,Algeria,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.39,0.381,0.375,0.367
DZA,PPPEX,Algeria,Implied PPP conversion rate,National currency per current international dollar,,38.856,41.163,40.246,37.731
DZA,NID_NGDP,Algeria,Total investment,Percent of GDP,,48.049,47.415,44.694,43.819
DZA,NGSD_NGDP,Algeria,Gross national savings,Percent of GDP,,34.717,37.76,34.843,30.993
DZA,PCPI,Algeria,"Inflation, average consumer prices",Index,,193.97,202.253,206.2,211.18
DZA,PCPIPCH,Algeria,"Inflation, average consumer prices",Percent change,,5.591,4.27,1.952,2.415
DZA,PCPIE,Algeria,"Inflation, end of period consumer prices",Index,,197.62,202.96,207.9,215.21
DZA,PCPIEPCH,Algeria,"Inflation, end of period consumer prices",Percent change,,4.933,2.702,2.434,3.516
DZA,TM_RPCH,Algeria,Volume of imports of goods and services,Percent change,,-0.82,-1.603,-9.688,-18.987
DZA,TMG_RPCH,Algeria,Volume of Imports of goods,Percent change,,-1.975,-2.945,-7.755,-18.169
DZA,TX_RPCH,Algeria,Volume of exports of goods and services,Percent change,,0.042,-7.913,-2.954,-4.154
DZA,TXG_RPCH,Algeria,Volume of exports of goods,Percent change,,2.628,-6.888,-4.463,-9.322
DZA,LUR,Algeria,Unemployment rate,Percent of total labor force,,11.709,11.731,11.383,n/a
DZA,LE,Algeria,Employment,Persons,Millions,,n/a,,
DZA,LP,Algeria,Population,Persons,Millions,41.721,42.578,43.424,43.851
DZA,GGR,Algeria,General government revenue,National currency,Billions,"6,047.89","6,826.88","6,601.58","5,640.94"
DZA,GGR_NGDP,Algeria,General government revenue,Percent of GDP,,32.558,33.476,32.202,30.53
DZA,GGX,Algeria,General government total expenditure,National currency,Billions,"7,638.17","8,222.85","8,566.21","7,839.47"
DZA,GGX_NGDP,Algeria,General government total expenditure,Percent of GDP,,41.119,40.321,41.786,42.428
DZA,GGXCNL,Algeria,General government net lending/borrowing,National currency,Billions,"-1,590.28","-1,395.96","-1,964.63","-2,198.53"
DZA,GGXCNL_NGDP,Algeria,General government net lending/borrowing,Percent of GDP,,-8.561,-6.845,-9.583,-11.899
DZA,GGSB,Algeria,General government structural balance,National currency,Billions,,,,
DZA,GGSB_NPGDP,Algeria,General government structural balance,Percent of potential GDP,,,,,
DZA,GGXONLB,Algeria,General government primary net lending/borrowing,National currency,Billions,"-1,421.21","-1,294.17","-1,850.70","-2,026.84"
DZA,GGXONLB_NGDP,Algeria,General government primary net lending/borrowing,Percent of GDP,,-7.651,-6.346,-9.028,-10.97
DZA,GGXWDN,Algeria,General government net debt,National currency,Billions,"4,008.73","5,245.90","6,257.39","8,098.51"
DZA,GGXWDN_NGDP,Algeria,General government net debt,Percent of GDP,,21.58,25.723,30.524,43.83
DZA,GGXWDG,Algeria,General government gross debt,National currency,Billions,"5,060.39","7,824.26","9,439.60","9,609.71"
DZA,GGXWDG_NGDP,Algeria,General government gross debt,Percent of GDP,,27.242,38.366,46.046,52.009
DZA,NGDP_FY,Algeria,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"18,575.70","20,393.50","20,500.20","18,476.90"
DZA,BCA,Algeria,Current account balance,U.S. dollars,Billions,-22.331,-16.884,-16.911,-18.681
DZA,BCA_NGDPD,Algeria,Current account balance,Percent of GDP,,-13.332,-9.655,-9.851,-12.826
AND,NGDP_R,Andorra,"Gross domestic product, constant prices",National currency,Billions,2.581,2.622,2.674,2.375
AND,NGDP_RPCH,Andorra,"Gross domestic product, constant prices",Percent change,,0.346,1.589,2.016,-11.184
AND,NGDP,Andorra,"Gross domestic product, current prices",National currency,Billions,2.656,2.725,2.818,2.531
AND,NGDPD,Andorra,"Gross domestic product, current prices",U.S. dollars,Billions,2.993,3.217,3.155,2.885
AND,PPPGDP,Andorra,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4.215,4.385,4.553,4.097
AND,NGDP_D,Andorra,"Gross domestic product, deflator",Index,,102.912,103.954,105.383,106.557
AND,NGDPRPC,Andorra,"Gross domestic product per capita, constant prices",National currency,Units,"34,503.04","34,414.85","34,490.03","30,447.35"
AND,NGDPRPPPPC,Andorra,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"56,352.20","56,208.17","56,330.95","49,728.24"
AND,NGDPPC,Andorra,"Gross domestic product per capita, current prices",National currency,Units,"35,507.66","35,775.50","36,346.54","32,443.63"
AND,NGDPDPC,Andorra,"Gross domestic product per capita, current prices",U.S. dollars,Units,"40,017.74","42,229.90","40,688.49","36,973.85"
AND,PPPPC,Andorra,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"56,352.20","57,559.54","58,719.90","52,513.66"
AND,NGAP_NPGDP,Andorra,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
AND,PPPSH,Andorra,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.003,0.003,0.003,0.003
AND,PPPEX,Andorra,Implied PPP conversion rate,National currency per current international dollar,,0.63,0.622,0.619,0.618
AND,NID_NGDP,Andorra,Total investment,Percent of GDP,,,,,
AND,NGSD_NGDP,Andorra,Gross national savings,Percent of GDP,,,,,
AND,PCPI,Andorra,"Inflation, average consumer prices",Index,,96.777,97.741,98.259,98.35
AND,PCPIPCH,Andorra,"Inflation, average consumer prices",Percent change,,2.586,0.996,0.53,0.092
AND,PCPIE,Andorra,"Inflation, end of period consumer prices",Index,,97.56,98.05,98.98,98.44
AND,PCPIEPCH,Andorra,"Inflation, end of period consumer prices",Percent change,,2.371,0.502,0.948,-0.546
AND,TM_RPCH,Andorra,Volume of imports of goods and services,Percent change,,,,,
AND,TMG_RPCH,Andorra,Volume of Imports of goods,Percent change,,,,,
AND,TX_RPCH,Andorra,Volume of exports of goods and services,Percent change,,,,,
AND,TXG_RPCH,Andorra,Volume of exports of goods,Percent change,,,,,
AND,LUR,Andorra,Unemployment rate,Percent of total labor force,,1.725,1.525,1.775,2.85
AND,LE,Andorra,Employment,Persons,Millions,0.043,0.045,0.045,0.045
AND,LP,Andorra,Population,Persons,Millions,0.075,0.076,0.078,0.078
AND,GGR,Andorra,General government revenue,National currency,Billions,1.014,1.052,1.075,1.045
AND,GGR_NGDP,Andorra,General government revenue,Percent of GDP,,38.19,38.601,38.15,41.27
AND,GGX,Andorra,General government total expenditure,National currency,Billions,0.926,0.979,1.01,1.072
AND,GGX_NGDP,Andorra,General government total expenditure,Percent of GDP,,34.852,35.93,35.844,42.336
AND,GGXCNL,Andorra,General government net lending/borrowing,National currency,Billions,0.089,0.073,0.065,-0.027
AND,GGXCNL_NGDP,Andorra,General government net lending/borrowing,Percent of GDP,,3.338,2.671,2.306,-1.066
AND,GGSB,Andorra,General government structural balance,National currency,Billions,,,,
AND,GGSB_NPGDP,Andorra,General government structural balance,Percent of potential GDP,,,,,
AND,GGXONLB,Andorra,General government primary net lending/borrowing,National currency,Billions,,,,
AND,GGXONLB_NGDP,Andorra,General government primary net lending/borrowing,Percent of GDP,,,,,
AND,GGXWDN,Andorra,General government net debt,National currency,Billions,,,,
AND,GGXWDN_NGDP,Andorra,General government net debt,Percent of GDP,,,,,
AND,GGXWDG,Andorra,General government gross debt,National currency,Billions,1.005,0.99,0.997,1.173
AND,GGXWDG_NGDP,Andorra,General government gross debt,Percent of GDP,,37.854,36.344,35.365,46.353
AND,NGDP_FY,Andorra,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,2.656,2.725,2.818,2.531
AND,BCA,Andorra,Current account balance,U.S. dollars,Billions,n/a,n/a,0.568,0.422
AND,BCA_NGDPD,Andorra,Current account balance,Percent of GDP,,n/a,n/a,18.01,14.634
AGO,NGDP_R,Angola,"Gross domestic product, constant prices",National currency,Billions,"1,586.58","1,565.69","1,554.70","1,467.04"
AGO,NGDP_RPCH,Angola,"Gross domestic product, constant prices",Percent change,,-0.15,-1.316,-0.702,-5.638
AGO,NGDP,Angola,"Gross domestic product, current prices",National currency,Billions,"20,245.35","25,627.71","30,833.45","33,040.99"
AGO,NGDPD,Angola,"Gross domestic product, current prices",U.S. dollars,Billions,122.022,101.353,84.516,57.139
AGO,PPPGDP,Angola,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,217.805,220.106,222.48,212.676
AGO,NGDP_D,Angola,"Gross domestic product, deflator",Index,,"1,276.04","1,636.83","1,983.24","2,252.22"
AGO,NGDPRPC,Angola,"Gross domestic product per capita, constant prices",National currency,Units,"52,520.67","50,064.48","48,053.36","43,885.94"
AGO,NGDPRPPPPC,Angola,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"7,210.03","6,872.84","6,596.76","6,024.65"
AGO,NGDPPC,Angola,"Gross domestic product per capita, current prices",National currency,Units,"670,184.33","819,469.65","953,014.83","988,408.09"
AGO,NGDPDPC,Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,039.30","3,240.86","2,612.25","1,709.28"
AGO,PPPPC,Angola,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"7,210.03","7,038.08","6,876.52","6,362.11"
AGO,NGAP_NPGDP,Angola,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
AGO,PPPSH,Angola,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.178,0.169,0.164,0.159
AGO,PPPEX,Angola,Implied PPP conversion rate,National currency per current international dollar,,92.952,116.434,138.59,155.359
AGO,NID_NGDP,Angola,Total investment,Percent of GDP,,24.151,21.355,20.967,25.416
AGO,NGSD_NGDP,Angola,Gross national savings,Percent of GDP,,23.517,28.659,27.045,26.942
AGO,PCPI,Angola,"Inflation, average consumer prices",Index,,251.795,301.218,352.664,431.227
AGO,PCPIPCH,Angola,"Inflation, average consumer prices",Percent change,,29.844,19.629,17.079,22.277
AGO,PCPIE,Angola,"Inflation, end of period consumer prices",Index,,275.028,326.194,381.299,477.015
AGO,PCPIEPCH,Angola,"Inflation, end of period consumer prices",Percent change,,23.667,18.604,16.893,25.103
AGO,TM_RPCH,Angola,Volume of imports of goods and services,Percent change,,5.73,-11.205,-11.388,-32.735
AGO,TMG_RPCH,Angola,Volume of Imports of goods,Percent change,,6.478,5.865,-8.01,-33.099
AGO,TX_RPCH,Angola,Volume of exports of goods and services,Percent change,,-1.252,-10.725,-5.927,-7.342
AGO,TXG_RPCH,Angola,Volume of exports of goods,Percent change,,-1.509,-9.585,-5.705,-6.428
AGO,LUR,Angola,Unemployment rate,Percent of total labor force,,,,,
AGO,LE,Angola,Employment,Persons,Millions,,n/a,,
AGO,LP,Angola,Population,Persons,Millions,30.209,31.274,32.354,33.428
AGO,GGR,Angola,General government revenue,National currency,Billions,"3,546.27","5,859.96","6,530.16","7,052.76"
AGO,GGR_NGDP,Angola,General government revenue,Percent of GDP,,17.516,22.866,21.179,21.345
AGO,GGX,Angola,General government total expenditure,National currency,Billions,"4,879.69","5,273.87","6,290.94","7,690.86"
AGO,GGX_NGDP,Angola,General government total expenditure,Percent of GDP,,24.103,20.579,20.403,23.277
AGO,GGXCNL,Angola,General government net lending/borrowing,National currency,Billions,"-1,333.42",586.09,239.217,-638.098
AGO,GGXCNL_NGDP,Angola,General government net lending/borrowing,Percent of GDP,,-6.586,2.287,0.776,-1.931
AGO,GGSB,Angola,General government structural balance,National currency,Billions,"-1,063.40",895.251,669.021,532.704
AGO,GGSB_NPGDP,Angola,General government structural balance,Percent of potential GDP,,-4.73,3.246,1.981,1.295
AGO,GGXONLB,Angola,General government primary net lending/borrowing,National currency,Billions,-599.942,"1,800.00","1,959.87","1,661.67"
AGO,GGXONLB_NGDP,Angola,General government primary net lending/borrowing,Percent of GDP,,-2.963,7.024,6.356,5.029
AGO,GGXWDN,Angola,General government net debt,National currency,Billions,,,,
AGO,GGXWDN_NGDP,Angola,General government net debt,Percent of GDP,,,,,
AGO,GGXWDG,Angola,General government gross debt,National currency,Billions,"14,034.66","23,832.49","35,012.67","45,892.99"
AGO,GGXWDG_NGDP,Angola,General government gross debt,Percent of GDP,,69.323,92.995,113.554,138.897
AGO,NGDP_FY,Angola,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"20,245.35","25,627.71","30,833.45","33,040.99"
AGO,BCA,Angola,Current account balance,U.S. dollars,Billions,-0.633,7.403,5.137,0.872
AGO,BCA_NGDPD,Angola,Current account balance,Percent of GDP,,-0.519,7.304,6.079,1.526
ATG,NGDP_R,Antigua and Barbuda,"Gross domestic product, constant prices",National currency,Billions,3.274,3.498,3.65,3.011
ATG,NGDP_RPCH,Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,3.144,6.824,4.344,-17.503
ATG,NGDP,Antigua and Barbuda,"Gross domestic product, current prices",National currency,Billions,3.964,4.333,4.524,3.824
ATG,NGDPD,Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,1.468,1.605,1.675,1.416
ATG,PPPGDP,Antigua and Barbuda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1.893,2.071,2.2,1.838
ATG,NGDP_D,Antigua and Barbuda,"Gross domestic product, deflator",Index,,121.045,123.871,123.939,127.006
ATG,NGDPRPC,Antigua and Barbuda,"Gross domestic product per capita, constant prices",National currency,Units,"34,990.33","36,814.36","37,840.61","30,757.55"
ATG,NGDPRPPPPC,Antigua and Barbuda,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"20,231.29","21,285.94","21,879.31","17,783.91"
ATG,NGDPPC,Antigua and Barbuda,"Gross domestic product per capita, current prices",National currency,Units,"42,354.22","45,602.44","46,899.11","39,063.79"
ATG,NGDPDPC,Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"15,686.75","16,889.79","17,370.04","14,468.07"
ATG,PPPPC,Antigua and Barbuda,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"20,231.29","21,797.70","22,807.19","18,780.03"
ATG,NGAP_NPGDP,Antigua and Barbuda,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
ATG,PPPSH,Antigua and Barbuda,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.002,0.002,0.002,0.001
ATG,PPPEX,Antigua and Barbuda,Implied PPP conversion rate,National currency per current international dollar,,2.094,2.092,2.056,2.08
ATG,NID_NGDP,Antigua and Barbuda,Total investment,Percent of GDP,,23.474,37.418,34.58,33.634
ATG,NGSD_NGDP,Antigua and Barbuda,Gross national savings,Percent of GDP,,15.436,22.858,27.425,17.347
ATG,PCPI,Antigua and Barbuda,"Inflation, average consumer prices",Index,,98.422,99.614,101.04,102.109
ATG,PCPIPCH,Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,2.432,1.211,1.431,1.058
ATG,PCPIE,Antigua and Barbuda,"Inflation, end of period consumer prices",Index,,98.408,100.12,100.81,103.61
ATG,PCPIEPCH,Antigua and Barbuda,"Inflation, end of period consumer prices",Percent change,,2.356,1.739,0.689,2.778
ATG,TM_RPCH,Antigua and Barbuda,Volume of imports of goods and services,Percent change,,1.097,9.643,4.823,-34.705
ATG,TMG_RPCH,Antigua and Barbuda,Volume of Imports of goods,Percent change,,7.192,18.464,1.255,-26.801
ATG,TX_RPCH,Antigua and Barbuda,Volume of exports of goods and services,Percent change,,-6.988,2.876,13.703,-50.353
ATG,TXG_RPCH,Antigua and Barbuda,Volume of exports of goods,Percent change,,-28.597,10.081,21.004,-30.184
ATG,LUR,Antigua and Barbuda,Unemployment rate,Percent of total labor force,,,,,
ATG,LE,Antigua and Barbuda,Employment,Persons,Millions,,n/a,,
ATG,LP,Antigua and Barbuda,Population,Persons,Millions,0.094,0.095,0.096,0.098
ATG,GGR,Antigua and Barbuda,General government revenue,National currency,Billions,0.822,0.859,0.849,0.755
ATG,GGR_NGDP,Antigua and Barbuda,General government revenue,Percent of GDP,,20.737,19.83,18.771,19.735
ATG,GGX,Antigua and Barbuda,General government total expenditure,National currency,Billions,0.935,0.966,1.031,0.99
ATG,GGX_NGDP,Antigua and Barbuda,General government total expenditure,Percent of GDP,,23.577,22.301,22.783,25.891
ATG,GGXCNL,Antigua and Barbuda,General government net lending/borrowing,National currency,Billions,-0.113,-0.107,-0.181,-0.235
ATG,GGXCNL_NGDP,Antigua and Barbuda,General government net lending/borrowing,Percent of GDP,,-2.841,-2.471,-4.012,-6.155
ATG,GGSB,Antigua and Barbuda,General government structural balance,National currency,Billions,,,,
ATG,GGSB_NPGDP,Antigua and Barbuda,General government structural balance,Percent of potential GDP,,,,,
ATG,GGXONLB,Antigua and Barbuda,General government primary net lending/borrowing,National currency,Billions,-0.005,0.002,-0.056,-0.14
