Location,Country,Type_var,Type of indicator,Variable,Indicator,Time,Value
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2018,82.7
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2019,82.9
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2020,83.2
AUS,Australia,AVERAGE,Average,5_2,Perceived health,2004,84
AUS,Australia,AVERAGE,Average,5_2,Perceived health,2007,84.9
AUS,Australia,AVERAGE,Average,5_2,Perceived health,2011,85.4
AUS,Australia,AVERAGE,Average,5_2,Perceived health,2014,85.2
AUS,Australia,AVERAGE,Average,5_2,Perceived health,2017,85.2
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2004,14.57043362
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2006,13.99814796
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2007,14.16952038
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2008,14.84208775
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2009,14.72466373
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2010,14.88162231
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2011,14.98953152
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2012,15.20790863
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2013,15.94467163
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2014,17.33662033
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2015,18.13013458
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2016,20.96259117
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2017,22.56148911
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2018,22.22000122
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2019,22.19591713
AUS,Australia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",2020,21.40941048
AUS,Australia,AVERAGE,Average,6_1,Student skills (reading),2006,512.8932916
AUS,Australia,AVERAGE,Average,6_1,Student skills (reading),2009,514.9006553
AUS,Australia,AVERAGE,Average,6_1,Student skills (reading),2012,511.8039976
AUS,Australia,AVERAGE,Average,6_1,Student skills (reading),2015,502.9005598
AUS,Australia,AVERAGE,Average,6_1,Student skills (reading),2018,502.6317243
AUS,Australia,AVERAGE,Average,6_2,Student skills (maths),2006,519.9077486
AUS,Australia,AVERAGE,Average,6_2,Student skills (maths),2009,514.3404625
AUS,Australia,AVERAGE,Average,6_2,Student skills (maths),2012,504.1507663
AUS,Australia,AVERAGE,Average,6_2,Student skills (maths),2015,493.8962313
AUS,Australia,AVERAGE,Average,6_2,Student skills (maths),2018,491.3600252
AUS,Australia,AVERAGE,Average,7_1,Social support,2006,96.67024967
AUS,Australia,AVERAGE,Average,7_1,Social support,2007,95.70046871
AUS,Australia,AVERAGE,Average,7_1,Social support,2008,94.18894283
AUS,Australia,AVERAGE,Average,7_1,Social support,2010,95.35370896
AUS,Australia,AVERAGE,Average,7_1,Social support,2011,96.66177958
AUS,Australia,AVERAGE,Average,7_1,Social support,2012,93.85969281
AUS,Australia,AVERAGE,Average,7_1,Social support,2013,92.72354479
AUS,Australia,AVERAGE,Average,7_1,Social support,2014,91.9743773
AUS,Australia,AVERAGE,Average,7_1,Social support,2015,95.10592674
AUS,Australia,AVERAGE,Average,7_1,Social support,2016,93.60833457
AUS,Australia,AVERAGE,Average,7_1,Social support,2017,94.97418574
AUS,Australia,AVERAGE,Average,7_1,Social support,2018,93.28254345
AUS,Australia,AVERAGE,Average,7_1,Social support,2019,94.02827327
AUS,Australia,AVERAGE,Average,7_1,Social support,2020,93.44684752
AUS,Australia,AVERAGE,Average,7_1,Social support,2021,91.64680452
AUS,Australia,AVERAGE,Average,7_1,Social support,2022,93.81475996
AUS,Australia,AVERAGE,Average,7_2,Time spent in social interactions,2006,4.666666667
AUS,Australia,AVERAGE,Average,8_1,Having a say in government,2012,32.30651958
AUS,Australia,AVERAGE,Average,8_2,Voter turnout ,2004,94.32
AUS,Australia,AVERAGE,Average,8_2,Voter turnout ,2007,94.76
AUS,Australia,AVERAGE,Average,8_2,Voter turnout ,2010,93.22
AUS,Australia,AVERAGE,Average,8_2,Voter turnout ,2013,93.23
AUS,Australia,AVERAGE,Average,8_2,Voter turnout ,2016,91.01
AUS,Australia,AVERAGE,Average,8_2,Voter turnout ,2019,91.89
AUS,Australia,AVERAGE,Average,10_1,Homicides,2004,0.8
AUS,Australia,AVERAGE,Average,10_1,Homicides,2006,1.2
AUS,Australia,AVERAGE,Average,10_1,Homicides,2007,1
AUS,Australia,AVERAGE,Average,10_1,Homicides,2008,1.2
AUS,Australia,AVERAGE,Average,10_1,Homicides,2009,1.2
AUS,Australia,AVERAGE,Average,10_1,Homicides,2010,1.1
AUS,Australia,AVERAGE,Average,10_1,Homicides,2011,1.1
AUS,Australia,AVERAGE,Average,10_1,Homicides,2012,1.2
AUS,Australia,AVERAGE,Average,10_1,Homicides,2013,1.1
AUS,Australia,AVERAGE,Average,10_1,Homicides,2014,1.2
AUS,Australia,AVERAGE,Average,10_1,Homicides,2015,1.2
AUS,Australia,AVERAGE,Average,10_1,Homicides,2016,1.1
AUS,Australia,AVERAGE,Average,10_1,Homicides,2017,0.9
AUS,Australia,AVERAGE,Average,10_1,Homicides,2018,1
AUS,Australia,AVERAGE,Average,10_1,Homicides,2019,1
AUS,Australia,AVERAGE,Average,10_1,Homicides,2020,0.9
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2006,64.75477277
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2007,60.85594023
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2008,63.21152585
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2010,63.56451169
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2011,63.8944604
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2012,65.39090478
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2013,66.66722119
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2014,62.34432775
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2015,62.64287463
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2016,65.95322552
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2017,61.84963947
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2018,64.91901245
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2019,64.31097069
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2020,66.95441587
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2021,67.29381299
AUS,Australia,AVERAGE,Average,10_2,Feeling safe at night,2022,69.44611594
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2004,7.941715136
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2005,8.063699159
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2006,7.833370805
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2007,7.696509952
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2008,6.762607852
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2009,6.869001639
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2010,6.12752051
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2011,5.716197977
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2012,5.714043152
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2013,5.123631055
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2014,4.902945115
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2015,5.059624845
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2016,5.35325112
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2017,4.97271674
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2018,4.546065725
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2019,4.684253493
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2020,4.275921429
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2021,4.344427623
AUS,Australia,AVERAGE,Average,10_3,Road deaths,2022,4.568257379
AUS,Australia,AVERAGE,Average,11_1,Life satisfaction,2014,7.6
AUS,Australia,AVERAGE,Average,11_1,Life satisfaction,2019,7.5
AUS,Australia,AVERAGE,Average,11_1,Life satisfaction,2020,7.2
AUS,Australia,DEP,Deprivation,1_4,Relative income poverty ,2012,14
AUS,Australia,DEP,Deprivation,1_4,Relative income poverty ,2014,12.8
AUS,Australia,DEP,Deprivation,1_4,Relative income poverty ,2016,12.1
AUS,Australia,DEP,Deprivation,1_4,Relative income poverty ,2018,12.4
AUS,Australia,DEP,Deprivation,1_4,Relative income poverty ,2020,12.6
AUS,Australia,DEP,Deprivation,1_6,Financial insecurity,2014,38.4
AUS,Australia,DEP,Deprivation,1_6,Financial insecurity,2018,43.29999983
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2004,0.968131962
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2005,0.905577975
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2006,0.881941064
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2007,0.824407547
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2008,0.806953115
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2009,1.167788488
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2010,1.019853892
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2011,1.004597191
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2012,1.047567742
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2013,1.150235876
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2014,1.22584028
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2015,1.233397053
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2016,1.129977725
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2017,1.145011125
AUS,Australia,DEP,Deprivation,2_3,Long-term unemployment rate,2018,1.056380441
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2004,9.9261808
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2005,9.5541849
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2006,9.3154173
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2007,8.6517601
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2008,8.5522385
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2009,9.9969006
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2010,9.6901541
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2011,9.868906
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2012,9.8566074
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2013,10.852316
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2014,10.389955
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2015,9.7582693
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2016,8.9274702
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2017,8.6633263
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2018,8.8408089
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2019,8.6564646
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2020,11.860934
AUS,Australia,DEP,Deprivation,2_4,"Youth not in employment, education or training",2021,8.4608145
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2010,17.91943908
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2012,19.3341285
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2013,19.14036721
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2014,16.25842303
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2015,17.939125
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2016,18.84539872
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2017,19.82713044
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2018,20.08090615
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2019,15.60809016
AUS,Australia,DEP,Deprivation,3_3,Housing cost overburden,2020,14.39574808
AUS,Australia,DEP,Deprivation,7_1,Social support,2006,3.206837262
AUS,Australia,DEP,Deprivation,7_1,Social support,2007,3.44262798
AUS,Australia,DEP,Deprivation,7_1,Social support,2008,5.309727605
AUS,Australia,DEP,Deprivation,7_1,Social support,2010,4.543359042
AUS,Australia,DEP,Deprivation,7_1,Social support,2011,3.295676739
AUS,Australia,DEP,Deprivation,7_1,Social support,2012,5.504896979
AUS,Australia,DEP,Deprivation,7_1,Social support,2013,7.171981333
AUS,Australia,DEP,Deprivation,7_1,Social support,2014,7.586676624
AUS,Australia,DEP,Deprivation,7_1,Social support,2015,4.809787192
AUS,Australia,DEP,Deprivation,7_1,Social support,2016,5.728324907
AUS,Australia,DEP,Deprivation,7_1,Social support,2017,5.003078931
AUS,Australia,DEP,Deprivation,7_1,Social support,2018,5.93971298
AUS,Australia,DEP,Deprivation,7_1,Social support,2019,5.707441402
AUS,Australia,DEP,Deprivation,7_1,Social support,2020,6.334414814
AUS,Australia,DEP,Deprivation,7_1,Social support,2021,7.995793234
AUS,Australia,DEP,Deprivation,7_1,Social support,2022,5.810826003
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2006,33.55220703
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2007,35.58337398
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2008,33.56848101
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2010,35.50665901
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2011,32.93458426
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2012,30.76546592
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2013,31.06940453
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2014,34.40805964
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2015,35.0429552
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2016,30.82422074
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2017,35.44935048
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2018,33.29326894
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2019,31.45244393
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2020,31.45026371
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2021,31.29145703
AUS,Australia,DEP,Deprivation,10_2,Feeling safe at night,2022,29.40303145
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2006,10.82234816
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2007,11.90811624
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2008,12.69049012
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2010,11.65444479
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2011,9.948093762
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2012,12.70593098
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2013,8.895432892
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2014,13.2733093
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2015,10.74149745
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2016,11.9163452
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2017,13.20641456
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2018,10.72066823
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2019,14.05519173
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2020,11.02365333
AUS,Australia,DEP,Deprivation,11_2,Negative affect balance,2021,11.60934626
AUT,Austria,AVERAGE,Average,1_1,Household income,2004,31291
AUT,Austria,AVERAGE,Average,1_1,Household income,2005,32271
AUT,Austria,AVERAGE,Average,1_1,Household income,2006,33010
AUT,Austria,AVERAGE,Average,1_1,Household income,2007,33684
AUT,Austria,AVERAGE,Average,1_1,Household income,2008,33995
AUT,Austria,AVERAGE,Average,1_1,Household income,2009,33903
AUT,Austria,AVERAGE,Average,1_1,Household income,2010,33591
AUT,Austria,AVERAGE,Average,1_1,Household income,2011,33369
AUT,Austria,AVERAGE,Average,1_1,Household income,2012,33682
AUT,Austria,AVERAGE,Average,1_1,Household income,2013,33017
AUT,Austria,AVERAGE,Average,1_1,Household income,2014,33032
AUT,Austria,AVERAGE,Average,1_1,Household income,2015,32689
AUT,Austria,AVERAGE,Average,1_1,Household income,2016,33114
AUT,Austria,AVERAGE,Average,1_1,Household income,2017,33412
AUT,Austria,AVERAGE,Average,1_1,Household income,2018,33670
AUT,Austria,AVERAGE,Average,1_1,Household income,2019,34091
AUT,Austria,AVERAGE,Average,1_1,Household income,2020,32955
AUT,Austria,AVERAGE,Average,1_1,Household income,2021,34062
AUT,Austria,AVERAGE,Average,1_3,Household wealth,2011,106966
AUT,Austria,AVERAGE,Average,1_3,Household wealth,2014,113182
AUT,Austria,AVERAGE,Average,1_3,Household wealth,2017,104819
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2004,69.86508302
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2005,70.80593352
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2006,72.08969545
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2007,73.36033036
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2008,74.33986792
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2009,74.04109473
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2010,74.64602064
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2011,74.74498314
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2012,75.15466925
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2013,75.27016597
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2014,75.02745905
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2015,75.15890024
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2016,75.74353767
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2017,76.42320617
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2018,77.1781047
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2019,77.65424095
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2020,76.45661809
AUT,Austria,AVERAGE,Average,2_1,Employment rate,2021,76.42846564
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2007,1.454689622
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2008,1.404052258
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2009,1.846733451
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2010,1.511991143
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2011,1.494622469
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2012,1.732839108
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2013,1.890036464
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2014,1.950446725
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2015,2.055503607
AUT,Austria,AVERAGE,Average,2_5,Labour market insecurity,2016,2.295787334
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2005,23.1404
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2006,33.117
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2007,46.1463
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2008,54.4969
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2009,57.8027
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2010,63.7002
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2011,71.9837
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2012,77.4086
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2013,79.7862
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2014,79.3764
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2015,80.9113
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2016,85.0929
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2017,88.3804
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2018,87.6856
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2019,89.3345
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2020,89.2893
AUT,Austria,AVERAGE,Average,3_5,Households with internet access at home ,2021,91.009
AUT,Austria,AVERAGE,Average,4_1,Time off,2009,14.506293
AUT,Austria,AVERAGE,Average,4_3,Gender gap in working hours,2008,13.58189201
AUT,Austria,AVERAGE,Average,4_4,Satisfaction with time use,2013,7.33664219
AUT,Austria,AVERAGE,Average,4_4,Satisfaction with time use,2018,7.297826069
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2004,79.3
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2005,79.5
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2006,80.1
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2007,80.3
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2008,80.6
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2009,80.5
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2010,80.7
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2011,81.1
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2012,81.1
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2013,81.3
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2014,81.6
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2015,81.3
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2016,81.8
AUT,Austria,AVERAGE,Average,5_1,Life expectancy at birth,2017,81.7
